id,lat,lon
1,None,None
2,55.575781,9.761693
3,None,None
4,55.650000,12.600000
5,None,None
6,None,None
7,55.666667,12.583333
8,55.666667,12.583333
9,56.563814,9.040245
10,55.666667,12.583333
11,None,None
12,55.666667,12.583333
13,None,None
17,55.666667,12.583333
19,None,None
20,55.666667,12.583333
21,55.666667,12.583333
22,55.621570,8.480730
23,56.533333,8.300000
24,55.666667,12.583333
25,54.983333,11.900000
26,56.153423,10.225530
27,None,None
28,55.666667,12.583333
29,55.666667,12.583333
30,None,None
31,56.452820,9.404291
32,55.666667,12.583333
33,55.666667,12.583333
34,None,None
35,55.666667,12.583333
36,55.666667,12.583333
37,55.666667,12.583333
39,None,None
40,56.029377,12.586267
41,55.666667,12.583333
42,55.594566,12.668952
43,55.666667,12.583333
44,None,None
45,55.666667,12.583333
46,56.575042,9.997331
47,None,None
48,55.650000,12.600000
49,55.666667,12.583333
50,55.651014,12.598493
51,55.666667,12.583333
52,55.651014,12.598493
53,55.666667,12.583333
54,55.651014,12.598493
55,55.651014,12.598493
56,55.666667,12.583333
57,55.666667,12.583333
58,55.666667,12.583333
59,55.666667,12.583333
60,55.666667,12.583333
61,None,None
62,54.694952,11.388850
63,None,None
64,55.393475,10.394935
65,55.666667,12.583333
66,55.666667,12.583333
67,55.666667,12.583333
68,55.100907,14.706636
69,55.666667,12.583333
70,55.100907,14.706636
71,None,None
72,None,None
73,55.666667,12.583333
74,None,None
75,55.651014,12.598493
76,55.977212,10.168293
77,None,None
78,None,None
79,55.326574,11.150012
80,None,None
81,None,None
82,55.276580,11.579020
83,56.029377,12.586267
84,55.666667,12.583333
85,56.029377,12.586267
86,55.666667,12.583333
87,55.666667,12.583333
88,55.666667,12.583333
89,55.666667,12.583333
90,56.452820,9.404291
91,56.029377,12.586267
92,55.666667,12.583333
93,None,None
94,None,None
95,55.597441,12.635080
96,55.393475,10.394935
97,None,None
98,56.452820,9.404291
99,54.775198,11.502437
100,None,None
101,56.029377,12.586267
102,55.666667,12.583333
103,None,None
104,55.666667,12.583333
105,56.029377,12.586267
106,55.678467,12.522092
107,55.872147,9.613457
108,None,None
109,55.510270,11.290181
110,None,None
111,None,None
112,55.666667,12.583333
113,55.969074,12.415785
114,55.326574,11.150012
115,None,None
116,56.029377,12.586267
117,56.075432,12.486410
118,57.035498,9.941163
119,55.597441,12.635080
120,55.865675,9.873531
121,55.666667,12.583333
122,55.646202,12.636435
123,None,None
124,55.666667,12.583333
125,57.048345,9.935204
126,55.666667,12.583333
127,55.666667,12.583333
128,55.658126,12.524062
129,55.737973,12.481590
130,55.666667,12.583333
131,55.393475,10.394935
132,55.865675,9.873531
133,None,None
134,56.460704,10.036390
135,55.666667,12.583333
136,None,None
137,None,None
138,55.666667,12.583333
139,55.666667,12.583333
140,55.666667,12.583333
141,55.666667,12.583333
142,55.666667,12.583333
143,None,None
144,55.058732,10.591346
145,None,None
146,None,None
