id,lat,lon
9487,55.771785,12.505991
9488,56.460704,10.036390
9489,54.694952,11.388850
9490,55.402719,11.354142
9491,None,None
9492,None,None
9493,None,None
9494,56.040253,12.142905
9495,55.666667,12.583333
9496,55.666667,12.583333
9497,55.666667,12.583333
9498,55.666667,12.583333
9499,55.666667,12.583333
9500,None,None
9501,55.666667,12.583333
9502,None,None
9503,None,None
9504,None,None
9505,55.666667,12.583333
9506,None,None
9507,55.666667,12.583333
9508,None,None
9509,55.252434,9.489315
9510,55.252434,9.489315
9511,55.587057,11.654125
9512,55.666667,12.583333
9513,55.666667,12.583333
9514,55.666667,12.583333
9515,54.715702,11.699811
9516,56.065579,12.285119
9517,None,None
9518,55.441121,11.809437
9519,55.971524,12.373709
9520,55.782307,11.408013
9521,56.460704,10.036390
9522,55.402719,11.354142
9523,55.678467,12.522092
9524,57.035850,8.812774
9525,55.838923,12.067612
9526,55.640094,12.080540
9527,None,None
9528,55.666667,12.583333
9529,55.666667,12.583333
9530,None,None
9531,55.842331,12.433477
9532,55.666667,12.583333
9533,55.647521,12.312019
9534,55.666667,12.583333
9535,55.526064,10.207715
9536,55.640094,12.080540
9537,54.937994,10.721368
9538,55.615171,12.600696
9539,57.035850,8.812774
9540,55.595283,12.183192
9541,None,None
9542,None,None
9543,55.666667,12.583333
9544,None,None
9545,55.586875,11.216362
9546,56.699177,9.067399
9547,55.666667,12.583333
9548,None,None
9549,55.666667,12.583333
9550,55.666667,12.583333
9551,55.666667,12.583333
9552,None,None
9553,55.666667,12.583333
9554,56.689153,9.336666
9555,56.551663,10.298744
9556,55.666667,12.583333
9557,55.666667,12.583333
9558,55.402719,11.354142
9559,55.666667,12.583333
9560,56.029377,12.586267
9561,None,None
9562,54.775198,11.502437
9563,55.666667,12.583333
9564,55.666667,12.583333
9565,55.402719,11.354142
9566,55.666667,12.583333
9567,56.153423,10.225530
9568,56.676036,10.062383
9569,55.666667,12.583333
9570,None,None
9571,55.865675,9.873531
9572,55.384052,11.696091
9573,55.666667,12.583333
9574,55.666667,12.583333
9575,None,None
9576,55.666667,12.583333
9577,56.209109,10.070055
9578,55.666667,12.583333
9579,55.666667,12.583333
9580,55.666667,12.583333
9581,55.666667,12.583333
9582,None,None
